Subject,Relation,Object
ImNet-O:n07718472,rdfs:subClassOf,ImNet-O:n07707451
ImNet-O:n12997654,rdfs:subClassOf,ImNet-O:n12992868
ImNet-O:n12992868,rdfs:subClassOf,ImNet-O:n00004475
ImNet-O:n07697313,rdfs:subClassOf,ImNet-O:n07697100
ImNet-O:n07557434,rdfs:subClassOf,ImNet-O:n07570720
ImNet-O:n13009085,rdfs:subClassOf,ImNet-O:n12998815
ImNet-O:n13017102,rdfs:subClassOf,ImNet-O:n12998815
ImNet-O:n00004258,rdfs:subClassOf,ImNet-O:n00003553
ImNet-O:n00004475,rdfs:subClassOf,ImNet-O:n00004258
ImNet-O:n07615671,rdfs:subClassOf,ImNet-O:n07614500
ImNet-O:n13003254,rdfs:subClassOf,ImNet-O:n12998815
ImNet-O:n07880968,rdfs:subClassOf,ImNet-O:n07557434
ImNet-O:n07611358,rdfs:subClassOf,ImNet-O:n07609840
ImNet-O:n07614825,rdfs:subClassOf,ImNet-O:n07614500
ImNet-O:n07615460,rdfs:subClassOf,ImNet-O:n07614500
ImNet-O:n07874259,rdfs:subClassOf,ImNet-O:n07873807
ImNet-O:n07683786,rdfs:subClassOf,ImNet-O:n07679356
ImNet-O:n07695965,rdfs:subClassOf,ImNet-O:n07712382
ImNet-O:n07697100,rdfs:subClassOf,ImNet-O:n07695965
ImNet-O:n00003553,rdfs:subClassOf,ImNet-O:n00002684
ImNet-O:n00002684,rdfs:subClassOf,ImNet-O:n00001930
ImNet-O:n00001930,rdfs:subClassOf,ImNet-O:n00001740
ImNet-O:n07615052,rdfs:subClassOf,ImNet-O:n07614500
ImNet-O:n07566340,rdfs:subClassOf,ImNet-O:n00021265
ImNet-O:n07679356,rdfs:subClassOf,ImNet-O:n07566863
ImNet-O:n07614500,rdfs:subClassOf,ImNet-O:n07611358
ImNet-O:n07570720,rdfs:subClassOf,ImNet-O:n00021265
ImNet-O:n07555863,rdfs:subClassOf,ImNet-O:n15046900
ImNet-O:n07615190,rdfs:subClassOf,ImNet-O:n07614500
ImNet-O:n07874063,rdfs:subClassOf,ImNet-O:n07873807
ImNet-O:n07712382,rdfs:subClassOf,ImNet-O:n07557434
ImNet-O:n07881205,rdfs:subClassOf,ImNet-O:n07880968
ImNet-O:n07705711,rdfs:subClassOf,ImNet-O:n07555863
ImNet-O:n13013534,rdfs:subClassOf,ImNet-O:n12998815
ImNet-O:n07871810,rdfs:subClassOf,ImNet-O:n07557434
ImNet-O:n07874159,rdfs:subClassOf,ImNet-O:n07873807
ImNet-O:n07707451,rdfs:subClassOf,ImNet-O:n07705711
ImNet-O:n13001206,rdfs:subClassOf,ImNet-O:n12998815
ImNet-O:n07715103,rdfs:subClassOf,ImNet-O:n07713395
ImNet-O:n07713895,rdfs:subClassOf,ImNet-O:n07713395
ImNet-O:n07566863,rdfs:subClassOf,ImNet-O:n07566340
ImNet-O:n15046900,rdfs:subClassOf,ImNet-O:n00020827
